#segundos nanosegundos Rango theta Radio
499 621000000 3.152648 -1.246855 0.281380
499 621000000 6.386034 -0.323393 0.560612
499 621000000 2.499939 0.004199 0.259820
499 621000000 6.275891 1.072627 0.497502
499 621000000 2.455393 1.571797 0.503677
499 650000000 3.170205 -1.247987 0.298114
499 650000000 6.367789 -0.322596 0.542468
499 650000000 2.506268 0.000515 0.270581
499 650000000 6.280197 1.073170 0.501503
499 650000000 2.453234 1.571765 0.502693
499 675000000 3.164463 -1.248613 0.292479
499 675000000 6.330266 -0.321372 0.505184
499 675000000 2.502359 0.003413 0.262596
499 675000000 6.262443 1.072790 0.485685
499 675000000 2.445746 1.569193 0.493343
499 700000000 3.152842 -1.246238 0.279856
499 700000000 6.281242 -0.320131 0.456002
499 700000000 2.515020 0.001723 0.278067
499 700000000 6.271741 1.072874 0.494695
499 700000000 2.458125 1.573076 0.507648
499 724000000 3.153008 -1.246146 0.280321
499 724000000 6.300246 -0.320126 0.474534
499 724000000 2.504154 0.001493 0.267253
499 724000000 6.278201 1.072771 0.499667
499 724000000 2.443482 1.568674 0.491662
499 750000000 3.159346 -1.247262 0.286314
499 750000000 6.306248 -0.321129 0.482485
499 750000000 2.514197 -0.002643 0.281191
499 750000000 6.270883 1.072883 0.493010
499 750000000 2.449175 1.569703 0.496453
499 775000000 3.168966 -1.249570 0.297369
499 775000000 6.288350 -0.320400 0.463715
499 775000000 2.502947 0.001112 0.266956
499 775000000 6.273465 1.072525 0.495175
499 775000000 2.454877 1.570821 0.501526
499 799000000 3.164577 -1.248653 0.293074
499 799000000 6.329105 -0.321219 0.503823
499 799000000 2.502882 0.002171 0.264623
499 799000000 6.269652 1.072792 0.491816
499 799000000 2.446795 1.569203 0.493882
499 825000000 3.164728 -1.249070 0.292731
499 825000000 6.331136 -0.322094 0.506456
499 825000000 2.512056 0.000047 0.274692
499 825000000 6.271980 1.072881 0.494460
499 825000000 2.455165 1.571997 0.504252
499 850000000 3.163002 -1.248540 0.291036
499 850000000 6.407972 -0.323672 0.582307
499 850000000 2.510852 0.000117 0.273535
499 850000000 6.281985 1.073412 0.503683
499 850000000 2.446217 1.568857 0.493193
499 874000000 3.173118 -1.248298 0.301256
499 874000000 6.310583 -0.320243 0.485354
499 874000000 2.522127 0.002470 0.284251
499 874000000 6.290091 1.073109 0.510859
499 874000000 2.444472 1.568888 0.491768
499 900000000 3.158907 -1.248238 0.287901
499 900000000 6.382509 -0.323873 0.558245
499 900000000 2.515960 -0.003100 0.283030
499 900000000 6.277792 1.072745 0.500407
499 900000000 2.447427 1.569914 0.495497
499 925000000 3.163648 -1.248317 0.291149
499 925000000 6.323610 -0.321085 0.496932
499 925000000 2.507145 0.001608 0.268968
499 925000000 6.273319 1.072952 0.495464
499 925000000 2.452524 1.570166 0.499257
499 950000000 3.151285 -1.246228 0.278598
499 950000000 6.285940 -0.320036 0.460231
499 950000000 2.511911 0.000753 0.275528
499 950000000 6.281174 1.073048 0.502599
499 950000000 2.447485 1.568774 0.493304
499 976000000 3.168413 -1.248058 0.296632
499 976000000 6.395370 -0.323102 0.570053
499 976000000 2.500310 0.003972 0.260185
499 976000000 6.274532 1.072952 0.496285
499 976000000 2.450762 1.569924 0.497329
500 1000000 3.160537 -1.248818 0.291043
500 1000000 6.328938 -0.321930 0.503880
500 1000000 2.502755 0.003794 0.261450
500 1000000 6.269807 1.072879 0.492205
500 1000000 2.456784 1.571872 0.505110
500 24000000 3.160977 -1.248176 0.289226
500 24000000 6.349602 -0.322407 0.524406
500 24000000 2.503961 -0.000250 0.268303
500 24000000 6.266501 1.072910 0.489621
500 24000000 2.456010 1.572613 0.505739
500 56000000 3.168544 -1.249779 0.297808
500 56000000 6.313572 -0.320884 0.488184
500 56000000 2.502085 0.001728 0.265691
500 56000000 6.277424 1.072785 0.498557
500 56000000 2.444289 1.568285 0.490967
500 75000000 3.161542 -1.248461 0.290559
500 75000000 6.292092 -0.320806 0.467516
500 75000000 2.512590 -0.000914 0.276400
500 75000000 6.284601 1.073130 0.505773
500 75000000 2.452371 1.570335 0.499006
500 108000000 3.151864 -1.249083 0.280492
500 108000000 6.289407 -0.320362 0.464946
500 108000000 2.512770 -0.000683 0.276662
500 108000000 6.278503 1.072678 0.499019
500 108000000 2.458862 1.573267 0.508425
500 133000000 3.168270 -1.249462 0.296218
500 133000000 6.311049 -0.321310 0.487101
500 133000000 2.507696 0.001874 0.267970
500 133000000 6.274141 1.072729 0.496208
500 133000000 2.444647 1.568987 0.492525
500 157000000 3.164731 -1.248525 0.292898
500 157000000 6.366038 -0.322527 0.540256
500 157000000 2.512826 0.001228 0.276252
500 157000000 6.267453 1.072731 0.490267
500 157000000 2.449630 1.570724 0.498794
500 184000000 3.154862 -1.247518 0.284117
500 184000000 6.334083 -0.321521 0.508832
500 184000000 2.512024 -0.001619 0.277878
500 184000000 6.275111 1.072727 0.496383
500 184000000 2.464055 1.574754 0.514454
500 209000000 3.166858 -1.248212 0.294642
500 209000000 6.330624 -0.321832 0.507038
500 209000000 2.516109 -0.002986 0.282892
500 209000000 6.266236 1.072801 0.489238
500 209000000 2.443538 1.567985 0.489994
500 235000000 3.162949 -1.248785 0.291723
500 235000000 6.328934 -0.322065 0.504787
500 235000000 2.512946 -0.001668 0.278506
500 235000000 6.272287 1.072940 0.494480
500 235000000 2.446957 1.569202 0.493446
500 261000000 3.149536 -1.248434 0.279295
500 261000000 6.292149 -0.319833 0.466733
500 261000000 2.512734 -0.000524 0.276066
500 261000000 6.273344 1.072908 0.494962
500 261000000 2.449556 1.570963 0.499139
500 286000000 3.163886 -1.248398 0.292084
500 286000000 6.370509 -0.323235 0.546066
500 286000000 2.503615 0.002376 0.265257
500 286000000 6.274527 1.072485 0.496511
500 286000000 2.450675 1.571257 0.500099
500 311000000 3.173878 -1.250857 0.302528
500 311000000 6.317254 -0.321635 0.493768
500 311000000 2.508953 -0.000740 0.273768
500 311000000 6.270430 1.072698 0.493263
500 311000000 2.441809 1.568754 0.490613
500 335000000 3.162362 -1.248370 0.290865
500 335000000 6.286512 -0.320372 0.462249
500 335000000 2.505325 0.001175 0.268354
500 335000000 6.266825 1.072944 0.489839
500 335000000 2.456151 1.571937 0.504468
500 363000000 3.158687 -1.248617 0.287672
500 363000000 6.301437 -0.321061 0.476869
500 363000000 2.504756 0.001489 0.267503
500 363000000 6.280586 1.072654 0.501899
500 363000000 2.455693 1.571434 0.502883
500 386000000 3.170346 -1.250182 0.299192
500 386000000 6.342724 -0.322214 0.518495
500 386000000 2.508175 0.000595 0.271780
500 386000000 6.283616 1.072771 0.504236
500 386000000 2.456625 1.572446 0.505777
500 412000000 3.164027 -1.247704 0.290065
500 412000000 6.303819 -0.320525 0.478381
500 412000000 2.510697 0.000321 0.273535
500 412000000 6.279687 1.072923 0.500644
500 412000000 2.452902 1.571382 0.501589
500 436000000 3.153158 -1.249410 0.281955
500 436000000 6.316002 -0.321589 0.491443
500 436000000 2.512700 -0.000991 0.276714
500 436000000 6.292744 1.072875 0.513458
500 436000000 2.457146 1.572683 0.506380
500 462000000 3.173822 -1.248237 0.302094
500 462000000 6.318487 -0.320948 0.492683
500 462000000 2.509847 0.000750 0.272652
500 462000000 6.287792 1.072829 0.508218
500 462000000 2.442662 1.568518 0.490423
500 486000000 3.151640 -1.246312 0.279930
500 486000000 6.326600 -0.321721 0.501012
500 486000000 2.498346 0.003387 0.260342
500 486000000 6.266483 1.073018 0.489298
500 486000000 2.449204 1.570817 0.498806
500 511000000 3.157818 -1.247214 0.285825
500 511000000 6.389674 -0.322773 0.563302
500 511000000 2.515777 -0.002201 0.281266
500 511000000 6.277311 1.072800 0.499478
500 511000000 2.444819 1.569252 0.493265
500 535000000 3.178656 -1.248235 0.306230
500 535000000 6.310696 -0.320880 0.485779
500 535000000 2.501910 0.003620 0.261784
500 535000000 6.285029 1.073089 0.506492
500 535000000 2.452272 1.571147 0.500727
500 561000000 3.154138 -1.248703 0.284308
500 561000000 6.331810 -0.321118 0.506084
500 561000000 2.496662 0.004016 0.258165
500 561000000 6.277967 1.072678 0.499708
500 561000000 2.447385 1.569443 0.494339
500 586000000 3.143654 -1.249421 0.273870
500 586000000 6.368653 -0.322646 0.543321
500 586000000 2.506111 0.001614 0.268037
500 586000000 6.276021 1.072717 0.497558
500 586000000 2.447717 1.570490 0.496843
500 612000000 3.167391 -1.249432 0.296172
500 612000000 6.287988 -0.320233 0.463828
500 612000000 2.498032 0.003247 0.260705
500 612000000 6.280426 1.072919 0.502637
500 612000000 2.449833 1.569518 0.495571
500 637000000 3.189992 -1.247507 0.316840
500 637000000 6.298013 -0.320731 0.472900
500 637000000 2.507464 0.000815 0.270993
500 637000000 6.280292 1.073190 0.502502
500 637000000 2.455602 1.571078 0.502442
500 662000000 3.146197 -1.246019 0.276314
500 662000000 6.325345 -0.321598 0.500468
500 662000000 2.509346 -0.000690 0.274366
500 662000000 6.287277 1.073001 0.507403
500 662000000 2.453572 1.571332 0.501988
500 688000000 3.165613 -1.249776 0.296228
500 688000000 6.294315 -0.320719 0.470732
500 688000000 2.506174 0.000422 0.270243
500 688000000 6.270864 1.072863 0.492107
500 688000000 2.462736 1.574980 0.514519
500 714000000 3.168496 -1.249947 0.297839
500 714000000 6.294639 -0.319497 0.468614
500 714000000 2.504513 0.000279 0.269109
500 714000000 6.266720 1.072507 0.489421
500 714000000 2.446696 1.568820 0.493162
500 739000000 3.151974 -1.246302 0.279193
500 739000000 6.338756 -0.321616 0.513990
500 739000000 2.500072 0.002672 0.262821
500 739000000 6.273967 1.072680 0.496909
500 739000000 2.449615 1.571098 0.499684
500 762000000 3.172817 -1.251076 0.303064
500 762000000 6.326994 -0.321629 0.501709
500 762000000 2.503737 0.000106 0.267795
500 762000000 6.277502 1.072833 0.499280
500 762000000 2.445180 1.569385 0.493280
500 789000000 3.157099 -1.246438 0.282738
500 789000000 6.296335 -0.320280 0.471337
500 789000000 2.501653 0.000028 0.266749
500 789000000 6.283528 1.072664 0.504199
500 789000000 2.449711 1.569661 0.496665
500 814000000 3.172911 -1.251336 0.303517
500 814000000 6.330663 -0.323196 0.507345
500 814000000 2.510793 0.000165 0.273510
500 814000000 6.277620 1.072769 0.499009
500 814000000 2.442448 1.567501 0.488222
500 839000000 3.163831 -1.248300 0.293116
500 839000000 6.366850 -0.323159 0.543832
500 839000000 2.500346 -0.000350 0.264838
500 839000000 6.281405 1.072830 0.502623
500 839000000 2.454810 1.571841 0.503612
500 863000000 3.159633 -1.247692 0.287535
500 863000000 6.393531 -0.322711 0.568192
500 863000000 2.513424 -0.002931 0.281045
500 863000000 6.276135 1.073271 0.498213
500 863000000 2.453037 1.571733 0.502980
500 889000000 3.159001 -1.248689 0.287414
500 889000000 6.293905 -0.320311 0.468697
500 889000000 2.513437 -0.002420 0.279877
500 889000000 6.301102 1.073166 0.520022
500 889000000 2.438200 1.567813 0.486557
500 914000000 3.170373 -1.247626 0.297998
500 914000000 6.342286 -0.321629 0.518263
500 914000000 2.515658 -0.001393 0.279196
500 914000000 6.278431 1.072878 0.499912
500 914000000 2.455675 1.572049 0.504594
500 938000000 3.164513 -1.248588 0.292194
500 938000000 6.288204 -0.320238 0.462635
500 938000000 2.503658 0.000976 0.268154
500 938000000 6.288839 1.072879 0.508478
500 938000000 2.458931 1.573285 0.508927
500 964000000 3.153399 -1.246871 0.282005
500 964000000 6.349980 -0.321999 0.524967
500 964000000 2.510787 -0.000753 0.275726
